suburb,postcode,incidents_recorded_2014_2023
Abbeyard,3737,9
Abbotsford,3067,10970
Aberfeldie,3040,1120
Aberfeldy,3825,3
Acheron,3714,29
Ada,3833,4
Adams Estate,3984,38
Addington,3352,9
Adelaide Lead,3465,10
Agnes,3962,14
Aintree,3336,1392
Aireys Inlet,3231,258
Airly,3851,24
Airport West,3042,6932
Albanvale,3021,2821
Albert Park,3206,4815
Alberton,3971,96
Alberton West,3971,25
Albion,3020,3887
Alexandra,3714,1041
Alfredton,3350,3889
Allambee,3823,12
Allambee Reserve,3871,24
Allambee South,3871,15
Allans Flat,3691,25
Allansford,3277,312
Allendale,3364,24
Allestree,3305,41
Alma,3465,38
Almonds,3727,5
Almurta,3979,69
Alphington,3078,2397
Altona,3018,5744
Altona Meadows,3028,7198
Altona North,3025,8872
Alvie,3249,38
Amherst,3371,31
Amor,3825,2
Amphitheatre,3468,117
Anakie,3213,247
Ancona,3715,23
Anderson,3995,41
Anglers Rest,3898,19
Anglesea,3230,1056
Annuello,3549,12
Antwerp,3414,29
Apollo Bay,3233,947
Appin,3579,1
Appin South,3579,8
Apsley,3319,124
Ararat,3377,7893
Arawata,3951,17
Arcadia,3631,87
Arcadia South,3631,35
Archdale,3475,17
Archdale Junction,3475,19
Archerton,3723,9
Archies Creek,3995,14
Ardeer,3022,2426
Ardmona,3629,305
Areegra,3480,4
Argyle,3523,51
Armadale,3143,4730
Armstrong,3377,76
Armstrong Creek,3217,2103
Arnold,3551,27
Arnold West,3551,7
Arthurs Creek,3099,105
Arthurs Seat,3936,239
Ascot,3364,42
Ascot,3551,558
Ascot Vale,3032,10335
Ashbourne,3442,36
Ashburton,3147,4146
Ashwood,3147,4298
Aspendale,3195,2348
Aspendale Gardens,3195,1380
Athlone,3818,38
Attwood,3049,795
Aubrey,3393,6
Auchmore,3570,7
Avalon,3212,346
Avenel,3664,408
Avoca,3467,503
Avon Plains,3477,4
Avondale Heights,3034,3311
Avonmore,3559,16
Avonsleigh,3782,144
Axe Creek,3551,66
Axedale,3551,205
Ayrford,3268,6
Bacchus Marsh,3340,6270
Baddaginnie,3670,213
Badger Creek,3777,348
Bael Bael,3579,3
Bagshot,3551,78
Bagshot North,3551,10
Bahgallah,3312,17
Bailieston,3608,55
Bairnsdale,3875,12801
Bakery Hill,3350,855
Balaclava,3183,4910
Bald Hills,3364,43
Balintore,3249,9
Ballan,3342,1851
Ballangeich,3279,20
Ballarat Central,3350,19613
Ballarat East,3350,4752
Ballarat North,3350,1781
Ballendella,3561,49
Balliang,3340,156
Balliang East,3340,75
Ballyrogan,3375,16
Balmattum,3666,70
Balmoral,3407,74
Balnarring,3926,564
Balnarring Beach,3926,116
Balook,3971,6
Balwyn,3103,3935
Balwyn North,3104,4723
Bamawm,3561,145
Bamawm Extension,3564,22
Bambra,3241,27
Bamganie,3333,11
Bandiana,3691,183
Bangerang,3393,8
Bangholme,3175,576
Bannerton,3549,42
Bannockburn,3331,1113
Banyan,3485,4
Banyena,3388,9
Baranduda,3691,342
Barfold,3444,21
Baringhup,3463,67
Baringhup West,3463,5
Barjarg,3723,44
Barkers Creek,3451,84
Barkly,3384,17
Barkstead,3364,4
Barmah,3639,261
Barnadown,3557,20
Barnawartha,3688,326
Barnawartha North,3691,228
Baromi,3871,33
Barongarook,3249,88
Barongarook West,3249,57
Barrabool,3221,43
Barrakee,3525,6
Barramunga,3249,27
Barraport,3537,9
Barraport West,3537,1
Barrys Reef,3458,25
Barunah Park,3329,7
Barunah Plains,3329,2
Barwidgee,3737,37
Barwite,3722,27
Barwon Downs,3243,24
Barwon Heads,3227,1377
Basalt,3460,6
Bass,3991,393
Batesford,3213,187
Bathumi,3730,8
Baw Baw,3833,31
Baxter,3911,1802
Bayindeen,3375,8
Bayles,3981,159
Baynton,3444,25
Bayswater,3153,9156
Bayswater North,3153,5633
Beaconsfield,3807,2821
Beaconsfield Upper,3808,445
Bealiba,3475,124
Bearii,3641,40
Bears Lagoon,3517,30
Beauchamp,3579,4
Beaufort,3373,978
Beaumaris,3192,23
Beaumaris,3193,2950
Beazleys Bridge,3477,5
Beeac,3251,125
Beech Forest,3237,38
Beechworth,3747,1165
Beenak,3139,23
Belgrave,3160,2283
Belgrave Heights,3160,212
Belgrave South,3160,332
Bell Park,3214,5
Bell Park,3215,3466
Bell Post Hill,3215,2323
Bellarine,3223,77
Bellbird Creek,3889,11
Bellbrae,3228,178
Bellbridge,3691,84
Bellellen,3381,4
Bellfield,3081,1232
Bellfield,3381,3
Bells Beach,3228,111
Belmont,3216,8750
Bemm River,3889,29
Bena,3946,70
Benalla,3672,8485
Benambra,3900,54
Benayeo,3319,7
Bend Of Islands,3097,16
Bendigo,3550,20793
Bendoc,3888,21
Bengworden,3875,25
Benjeroop,3579,22
Benloch,3435,46
Bennison,3960,4
Bentleigh,3204,7034
Bentleigh East,3165,8310
Benwerrin,3235,9
Beremboke,3342,53
Berrimal,3518,1
Berringa,3351,50
Berringama,3691,9
Berriwillock,3531,41
Berrybank,3323,44
Berrys Creek,3953,25
Berwick,3806,17877
Bessiebelle,3304,29
Bet Bet,3472,68
Bete Bolong,3888,11
Bete Bolong North,3888,2
Bethanga,3691,69
Betley,3472,22
Beulah,3395,166
Beverford,3590,88
Beveridge,3753,1504
Big Desert,3490,1
Big Hill,3231,6
Big Hill,3555,89
Big Pats Creek,3799,14
Biggara,3707,14
Bimbourie,3533,4
Bindi,3896,9
Binginwarri,3966,46
Bingo Munjie,3898,2
Birchip,3483,185
Birchip West,3483,1
Birdwoodton,3505,172
Birregurra,3242,193
Bittern,3918,1040
Black Hill,3350,1070
Black Range,3381,55
Black Rock,3193,1628
Blackburn,3130,5291
Blackburn North,3130,1845
Blackburn South,3130,2975
Blackwarry,3844,6
Blackwood,3458,124
Blairgowrie,3942,919
Blakeville,3342,14
Blampied,3364,44
Blind Bight,3980,271
Blowhard,3352,35
Bo Peep,3351,39
Bobinawarrah,3678,12
Bochara,3301,43
Bogong,3699,11
Boho,3669,16
Boho South,3669,10
Boigbeat,3531,1
Boinka,3490,4
Boisdale,3860,98
Bolinda,3432,71
Bolton,3546,1
