facility_id,facility_name,suburb,postcode,latitude,longitude,sports_played
MELBOU10986,Active Melbourne City Sports,Docklands,3008,-37.81847,144.947109,Fitness / Gymnasium Workouts
MELBOU10991,Corporate Fitness Club,Melbourne,3000,-37.817507,144.963621,Fitness / Gymnasium Workouts
MELBOU10995,Fernwood Women's Health Club,Melbourne,3000,-37.81923,144.958126,Fitness / Gymnasium Workouts
MELBOU11250,Docklands Yacht Club,Docklands,3008,-37.820415,144.937261,Sailing
MELBOU11299,Beaurepaire Hockey Field,Carlton,3053,-37.795471,144.961432,Hockey
MELBOU5528,South Pacific Health Club Melbourne CBD,Melbourne,3000,-37.815667,144.957512,Fitness / Gymnasium Workouts
MELBOU5529,Fitness First Melbourne CBD Bourke St,Melbourne,3000,-37.814466,144.96356,Fitness / Gymnasium Workouts
MOONEE9362,Debney Park,Flemington,3031,-37.785636,144.937395,"Cricket, Soccer, Tennis (Outdoor)"
STONNI11959,Melbourne High School Oval,South Yarra,3141,-37.835616,144.994088,"Australian Rules Football, Cricket, Hockey"
STONNI11960,Como Park,South Yarra,3141,-37.835668,145.00395,"Australian Rules Football, Cricket"
STONNI11961,South Yarra Sports Centre ,South Yarra,3141,-37.836983,144.995195,"Basketball, Fitness / Gymnasium Workouts, Hockey, Netball, Soccer (Indoor Soccer / Futsal), Swimming, Tennis (Outdoor), Volleyball"
STONNI11962,Hawksburn Tennis Club,South Yarra,3141,-37.84191,145.000641,Tennis (Outdoor)
STONNI11963,Como Park North,South Yarra,3141,-37.832903,145.005507,Soccer
STONNI11971,Fitness First,South Yarra,3141,-37.845225,144.99467,Fitness / Gymnasium Workouts
YARRAC10975,Fernwood Carlton,Carlton,3053,-37.795621,144.975108,Fitness / Gymnasium Workouts
YARRAC11006,Hardy Gallagher Reserve Bocce Courts ,Princess Hill,3054,-37.779197,144.967058,Bocce
YARRAC11035,Fernwood - Carlton,Carlton,3053,-37.795584,144.974952,Fitness / Gymnasium Workouts
